projection_date,projection_year,year,real_gdp_billions,real_gdp_pct_change
2000 January,1,1999,8852.6,3.949
2000 January,2,2000,9148.8,3.346
2000 January,3,2001,9430.1,3.074
2000 January,4,2002,9692.9,2.787
2000 January,5,2003,9945.5,2.606
2000 January,6,2004,10201.9,2.578
2000 January,7,2005,10476.4,2.691
2000 January,8,2006,10759.2,2.7
2000 January,9,2007,11049.7,2.7
2000 January,10,2008,11352.0,2.735
2000 January,11,2009,11678.5,2.876
2000 January,12,2010,12015.7,2.887
2000 July,1,2000,9280.0,4.88
2000 July,2,2001,9568.4,3.108
2000 July,3,2002,9829.3,2.727
2000 July,4,2003,10085.3,2.605
2000 July,5,2004,10348.3,2.607
2000 July,6,2005,10625.0,2.674
2000 July,7,2006,10909.6,2.678
2000 July,8,2007,11201.4,2.675
2000 July,9,2008,11503.9,2.7
2000 July,10,2009,11827.8,2.816
2000 July,11,2010,12166.2,2.861
2001 August,1,2001,9480.8,1.742
2001 August,2,2002,9728.1,2.608
2001 August,3,2003,10044.6,3.254
2001 August,4,2004,10365.7,3.197
2001 August,5,2005,10702.3,3.247
2001 August,6,2006,11049.9,3.248
2001 August,7,2007,11406.2,3.224
2001 August,8,2008,11771.6,3.204
2001 August,9,2009,12147.1,3.19
2001 August,10,2010,12532.7,3.174
2001 August,11,2011,12927.6,3.151
2001 January,1,2000,9325.7,5.07
2001 January,2,2001,9550.8,2.413
2001 January,3,2002,9872.4,3.368
2001 January,4,2003,10197.2,3.29
2001 January,5,2004,10507.5,3.043
2001 January,6,2005,10822.1,2.994
2001 January,7,2006,11144.1,2.975
2001 January,8,2007,11475.5,2.974
2001 January,9,2008,11820.3,3.005
2001 January,10,2009,12176.0,3.009
2001 January,11,2010,12558.0,3.137
2001 January,12,2011,12951.0,3.13
2002 August,1,2002,9427.7,2.314
2002 August,2,2003,9711.6,3.011
2002 August,3,2004,10034.3,3.323
2002 August,4,2005,10344.0,3.086
2002 August,5,2006,10674.2,3.192
2002 August,6,2007,11018.1,3.222
2002 August,7,2008,11370.6,3.199
2002 August,8,2009,11729.3,3.155
